created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon May 22 23:59:39 +0000 2023,1660797604920455168,@erickthohir cocok berpasangan dengan @prabowo ✌✌✌ @Gerindra,0,1,1,2,in,1537930110,1660797604920455168,elkrova,https://twitter.com/elkrova/status/1660797604920455168
Mon May 22 23:59:28 +0000 2023,1660797559332569088,"@Jatayu_45 @msaid_didu Anis dan Ganjar sama sebagai pekerja partai, lebih tepat begitu jadi presiden dia masih punya atasan dan lebih nyesek lagi pencitraanya dibiayai oleh partai, disisi lain ada Prabowo sebagai ketua partai besar kedua dan dia mampu membiayai sendiri dalam pencapresan.",0,3,0,1,in,1608603161052475393,1660596452803112960,Moybinen,https://twitter.com/Moybinen/status/1660797559332569088
Mon May 22 23:59:09 +0000 2023,1660797479053574144,@KompasTV Anies berani sindir Prabowo ga kira2..,0,1,0,0,in,1599422548030394374,1660652622712299520,RDwiheryana,https://twitter.com/RDwiheryana/status/1660797479053574144
Mon May 22 23:59:06 +0000 2023,1660797463907926016,@KompasTV Yo gak apa2 meliuk...liuk..walau pal jokowi condong ke pak prabowo...apa salah,0,0,0,0,in,803559270109233152,1660645450439966721,nurnuri1263,https://twitter.com/nurnuri1263/status/1660797463907926016
Mon May 22 23:58:58 +0000 2023,1660797430156369920,"Mayoritas Rakyat percaya GANJAR PRANOWO akan melanjutkan &amp  mengembangkan program, kebijakan, gagasan Jokowi.  Prabowo masih ABU-ABU, gak jaminan dia akan melanjutkan. Salah satu sebabnya msh eksis di sana FADLI ZON.  Klw Anies jangan ditanya. Jelas dia ANTITESA JOKOWI, NO DEBAT.",0,0,0,0,in,1443633110386573314,1660797430156369920,Fredy_siTom,https://twitter.com/Fredy_siTom/status/1660797430156369920
Mon May 22 23:57:31 +0000 2023,1660797066665422848,"@Nikkontol Jangan lah.. Anis lebih buruk karena di backup sama Islam pergerakan (harokah), kalo Ganjar di backup sama ormas Islam.  Keduanya buruk sih.. om Prabowo kayaknya yang mendingan bisa tegak dan teguh pendirian agar tidak diperalat ormas.",0,2,1,5,in,1541720145327964162,1660796156690202625,ilhampurnama887,https://twitter.com/ilhampurnama887/status/1660797066665422848
Mon May 22 23:57:26 +0000 2023,1660797047132557313,Prabowo sempat memberikan kenang-kenangan kepada Habib Luthfi yang disebutnya sebagai kawan lama belasan hingga puluhan tahun. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1638457905149284352,1660797047132557313,balqisraveena,https://twitter.com/balqisraveena/status/1660797047132557313
Mon May 22 23:55:56 +0000 2023,1660796666675617792,"@caesar_emil Bukan kader partai tp penghianat, tanya ke pak Prabowo deh",0,0,0,0,in,1652821101918158849,1660518520743170048,tuanku_rakyat,https://twitter.com/tuanku_rakyat/status/1660796666675617792
Mon May 22 23:55:47 +0000 2023,1660796628570357762,@Quvvatt Sama kayak pertanyaan...capres mana yg paling potensial meneruskan program pemerintahan sekarang....jelas aja yg menang ganjar atau prabowo,0,0,1,2,in,348792302,1660700322904563712,Ramadian40,https://twitter.com/Ramadian40/status/1660796628570357762
Mon May 22 23:53:52 +0000 2023,1660796148989464576,"@Heripurwanto26 @BosPurwa @prabowo @ganjarpranowo Gak menjual karena elo gak ngeliat dari sudut pandang luar, ngeliatnya dari tempurung elo. Yg universal itu teknologi/solusi. Gampangnya elo beli AC Cina, Cina ketawa2 gak mau beli batik. Pencapaian nya ditingkatkan, bukan begitu2 aja . Miskin (perhitungan dunia) ko bangga",0,1,0,0,in,563495387,1660276483552874496,Redgerbil5,https://twitter.com/Redgerbil5/status/1660796148989464576
Mon May 22 23:52:56 +0000 2023,1660795911717666816,"@HeryIdris5 Capres yg onoh lagi darting, sebab udah ga ada yg nanggung biaya kampanye, mknya opsinya serang capres GP, eh anehnya ga ada yg berani serang prabowo, jangan2 masih satu panggung ! https://t.co/TaYFefzWkB",0,0,0,0,in,785969038404956161,1660619505687728128,ekoboy_2,https://twitter.com/ekoboy_2/status/1660795911717666816
